100006|179
10001|1491
10002|809
10003|255
10004|301
10005|44
10006|44
10007|79
10008|1265
10009|984
10010|1241
10011|1355
10012|909
10013|1076
10091|24
10092|45
10093|64
10094|74
10095|26
10099|77
20001|3341
20002|3209
20003|2181
20004|326
20005|306
20006|623
20007|233
20008|162
20009|84
20010|223
20011|633
20012|677
20013|412
20014|232
20015|635
20016|677
20017|233
300001|107
300002|61
300004|11
300005|1
300006|58
300007|26
40001|48
40002|0
40003|6
50001|0
50002|38
50003|33
60001|178
60004|635
700001|843
700002|459
700003|36
700004|500
800001|555
800002|239
800003|0
800004|20
900001|78
900002|8
900003|14
900004|39
